CrystalPalace,"[u'(27) ', u'Steve Coppell']",1984,1993,,442,179,113,150,,
CrystalPalace,"[u'(28) ', u'Alan Smith']",1993,1995,,108,48,25,35,,
CrystalPalace,"[u'(29) ', u'Steve Coppell']",1995,1996,,32,9,14,9,,
CrystalPalace,"[u'(30) ', u'Dave Bassett']",1996,1997,,60,29,15,16,,
CrystalPalace,"[u'(31) ', u'Steve Coppell']",1997,1998,,51,16,13,22,,
CrystalPalace,"[u'(32) ', u'Attilio Lombardo', u'*']",1998,1998,,7,2,0,5,,
CrystalPalace,"[u'(33) ', u'Ron Noades', u'/', u'Ray Lewington', u'+']",1998,1998,,2,0,1,1,,
CrystalPalace,"[u'(34) ', u'Terry Venables']",1998,1999,,31,11,8,12,,
CrystalPalace,"[u'(35) ', u'Steve Coppell']",1999,[],,40,17,6,17,,
CrystalPalace,"[u'(36) ', u'Alan Smith']",[],2001,,55,14,18,23,,
CrystalPalace,"[u'(37) ', u'Steve Kember', u'+']",2001,2001,,2,2,0,0,,
CrystalPalace,"[u'(38) ', u'Steve Bruce']",2001,2001,,18,11,2,5,,
CrystalPalace,"[u'(39) ', u'Steve Kember', u'/', u'Terry Bullivant', u'+']",2001,2001,,4,1,0,3,,
CrystalPalace,"[u'(40) ', u'Trevor Francis']",2001,2003,,78,28,22,28,,
CrystalPalace,"[u'(41) ', u'Steve Kember']",2003,2003,,23,7,6,10,,
CrystalPalace,"[u'(42) ', u'Kit Symons', u'+']",2003,2003,,9,3,3,3,,
CrystalPalace,"[u'(43) ', u'Iain Dowie']",2003,2006,,123,50,29,44,,
CrystalPalace,"[u'(44) ', u'Peter Taylor']",2006,2007,,60,21,16,23,,
CrystalPalace,"[u'(45) ', u'Neil Warnock']",2007,2010,,129,47,39,43,,
CrystalPalace,"[u'(46) ', u'Paul Hart']",2010,2010,,14,3,6,5,,
CrystalPalace,"[u'(47) ', u'George Burley']",2010,2011,,25,7,5,13,,
CrystalPalace,"[u'(48) ', u'Dougie Freedman']",2011,2012,,90,32,27,31,,
CrystalPalace,"[u'(49) ', u'Lennie Lawrence', u'/', u'\n', u'Curtis Fleming', u'+']",2012,2012,,2,1,1,0,,
CrystalPalace,"[u'(50) ', u'Curtis Fleming', u'+']",2012,2012,,1,1,0,0,,
CrystalPalace,"[u'(51) ', u'Ian Holloway']",2012,2013,,46,14,14,18,,
CrystalPalace,"[u'(52) ', u'Keith Millen', u'+']",2013,2013,,4,1,1,2,,
CrystalPalace,"[u'(53) ', u'Tony Pulis']",2013,2014,,28,12,5,11,,
CrystalPalace,"[u'(54) ', u'Keith Millen', u'+']",2014,2014,,1,0,0,1,,
CrystalPalace,"[u'(55) ', u'Neil Warnock']",2014,2014,,17,3,6,8,,
CrystalPalace,"[u'(56) ', u'Keith Millen', u'+']",2014,2015,,2,0,2,0,,
CrystalPalace,"[u'(57) ', u'Alan Pardew']",2015,Present,,48,24,5,19,,
DerbyCounty,Arthur Cox,28-May-84,2-Oct-93,3414,108,161,40.62,35.54,,
DerbyCounty,Roy McFarland,2-Oct-93,29-Apr-95,574,21,31,43.01,33.33,,
DerbyCounty,Billy McEwan,29-Apr-95,15-Jun-95,47,0,1,0,100,,
DerbyCounty,Jim Smith,15-Jun-95,7-Oct-01,2306,81,101,35.23,35.94,,
DerbyCounty,Colin Todd,8-Oct-01,14-Jan-02,98,2,11,23.53,64.71,,
DerbyCounty,Billy McEwan,14-Jan-02,30-Jan-02,16,0,2,0,100,,
DerbyCounty,John Gregory,30-Jan-02,21-Mar-03,415,9,30,29.09,54.55,,
DerbyCounty,Mark Lillis,21-Mar-03,31-Mar-03,10,0,1,0,100,,
DerbyCounty,George Burley,31-Mar-03,7-Jun-05,799,25,43,36.45,40.19,,
DerbyCounty,Phil Brown,24-Jun-05,30-Jan-06,220,14,12,21.21,36.36,,
DerbyCounty,Terry Westley,30-Jan-06,2-Jun-06,123,6,6,25,37.5,,
DerbyCounty,Billy Davies,2-Jun-06,26-Nov-07,542,14,24,44.93,34.78,,
DerbyCounty,Paul Jewell,28-Nov-07,29-Dec-08,397,15,30,22.41,51.72,,
DerbyCounty,Chris Hutchings,29-Dec-08,6-Jan-09,8,0,0,100,0,,
DerbyCounty,David Lowe,6-Jan-09,8-Jan-09,2,0,0,100,0,,
DerbyCounty,Nigel Clough,8-Jan-09,28-Sep-13,1724,54,101,32.9,43.72,,
DerbyCounty,Darren Wassall,29-Sep-13,1-Oct-13,2,1,0,0,0,,
DerbyCounty,Steve McClaren,1-Oct-13,25-May-15,601,22,22,54.26,23.4,,
DerbyCounty,Paul Clement,1-Jun-15,Present,,10,5,48.28,17.24,,
LeedsUnited,"[u'Wilkinson, Howard', u'Howard Wilkinson']",10-Oct-88,10-Sep-96,2892,411,178,117,116,488,622
LeedsUnited,"[u'Graham, George', u'George Graham']",10-Sep-96,1-Oct-98,751,95,37,27,31,99,118
LeedsUnited,"[u""O'Leary, David"", u""David O'Leary""]",1-Oct-98,27-Jun-02,1365,203,101,47,55,217,320
LeedsUnited,"[u'Venables, Terry', u'Terry Venables']",8-Jul-02,21-Mar-03,256,42,16,7,19,52,53
