Picture,Name,Nationality,From,To,Time in Charge,P,W,D,L,Win%,Honours,Ref.
[],"[u'Flynn, Brian', u'Brian Flynn']","[u'\xa0', u'Wales']",[u'19 September 2002'],[u'18 March 2004'],"[u'1\xa0year, 181\xa0days']",[u'82'],[u'28'],[u'22'],[u'32'],[u'34.15'],[],"[u'[', u'33', u']']"
[],"[u'Curtis, Alan', u'Alan Curtis', u'[', u'nb 2', u']']","[u'\xa0', u'Wales']",[u'18 March 2004'],[u'5 April 2004'],[u'18\xa0days'],[u'4'],[u'1'],[u'1'],[u'2'],[u'25.00'],[],"[u'[', u'34', u']']"
[],"[u'Jackett, Kenny', u'Kenny Jackett']","[u'\xa0', u'Wales']",[u'5 April 2004'],[u'15 February 2007'],"[u'2\xa0years, 316\xa0days']",[u'156'],[u'69'],[u'40'],[u'47'],[u'44.23'],"[u'1 ', u'League Two', u' promotion, 1 ', u'Football League Trophy']","[u'[', u'35', u']']"
[],"[u'Nugent, Kevin', u'Kevin Nugent', u'[', u'nb 2', u']']","[u'\xa0', u'England']",[u'15 February 2007'],[u'24 February 2007'],[u'9\xa0days'],[u'3'],[u'0'],[u'1'],[u'2'],"[u'0', u'0.00']",[],"[u'[', u'36', u']']"
[],"[u'Mart\xednez, Roberto', u'Roberto Mart\xednez']","[u'\xa0', u'Spain']",[u'24 February 2007'],[u'15 June 2009'],"[u'2\xa0years, 111\xa0days']",[u'126'],[u'63'],[u'37'],[u'26'],[u'50.00'],"[u'1 ', u'League One Championship']","[u'[', u'37', u']']"
[],"[u'Sousa, Paulo', u'Paulo Sousa']","[u'\xa0', u'Portugal']",[u'22 June 2009'],[u'5 July 2010'],"[u'1\xa0year, 13\xa0days']",[u'49'],[u'18'],[u'18'],[u'13'],"[u'7001367309999999999\u2660', u'36.73']",[],"[u'[', u'38', u']']"
[],"[u'Rodgers, Brendan', u'Brendan Rodgers']","[u'\xa0', u'Northern Ireland']",[u'16 July 2010'],[u'1 June 2012'],"[u'1\xa0year, 321\xa0days']",[u'96'],[u'43'],[u'20'],[u'33'],[u'44.79'],"[u'1 ', u'Championship', u' play-off winner']","[u'[', u'39', u']']"
[],"[u'Laudrup, Michael', u'Michael Laudrup']","[u'\xa0', u'Denmark']",[u'17 June 2012'],[u'4 February 2014'],"[u'1\xa0year, 232\xa0days']",[u'84'],[u'29'],[u'24'],[u'31'],[u'34.52'],"[u'1 ', u'Football League Cup']","[u'[', u'40', u']']"
[],"[u'Monk, Garry', u'Garry Monk']","[u'\xa0', u'England']",[u'4 February 2014'],[u'9 December 2015'],"[u'1\xa0year, 351\xa0days']",[u'74'],[u'28'],[u'16'],[u'30'],[u'37.84'],[],"[u'[', u'41', u']']"
[],"[u'Curtis, Alan', u'Alan Curtis', u'[', u'nb 2', u']']","[u'\xa0', u'Wales']",[u'9 December 2015'],[u'18 January 2016'],[u'40\xa0days'],[u'8'],[u'2'],[u'2'],[u'4'],[u'25.00'],[],"[u'[', u'42', u']']"
[],"[u'Guidolin, Francesco', u'Francesco Guidolin']","[u'\xa0', u'Italy']",[u'18 January 2016'],[u'Present'],[u'N/A'],[u'0'],[u'0'],[u'0'],[u'0'],"[u'!', u'\u2014']",[],"[u'[', u'43', u']']"
